sku,game,name,set,number,year,language,edition,rarity,finish,artist,condition,price,marketPrice,marketSource,pricingRule,frontImage,backImage,inventoryLocation,status,sourceSetCode,sourceScanId,rawBack,rawFront,notes,offerId,listingId,ebayUrl
PA-11606,Pokemon TCG,Togedemaru,Phantasmal Flames,104/094,2025,English,Unlimited,Illustration Rare,Holofoil,Orca,Near Mint,4.99,2.77,https://guardiantcg.app/pokemon/phantasmal-flames/togedemaru-104,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11606_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11606_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11606,batch-MTG0013b.- card 20.jpeg,batch-MTG0013b.- card 21.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864239011,158265511857,https://www.ebay.com/itm/158265511857
PA-11607,Pokemon TCG,Snorunt,MEGA Dream ex,200/193,2025,Japanese,Unlimited,Art Rare,Holofoil,June,Near Mint,4.99,1.71,https://guardiantcg.app/pokemon-jp/s12a-vstar-universe/thievul-192-172/similar,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11607_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11607_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11607,batch-MTG0013b.- card 22.jpeg,batch-MTG0013b.- card 23.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864252011,158265511872,https://www.ebay.com/itm/158265511872
PA-11608,Pokemon TCG,Hitmontop,Ascended Heroes,240/217,2026,English,Unlimited,Illustration Rare,Holofoil,osare,Near Mint,7.99,6.21,https://guardiantcg.app/pokemon/me-ascended-heroes/hitmontop-240-217,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11608_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11608_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11608,batch-MTG0013b.- card 24.jpeg,batch-MTG0013b.- card 25.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864288011,158265511858,https://www.ebay.com/itm/158265511858
PA-11609,Pokemon TCG,Iron Moth,Future Flash,069/066,2023,Japanese,Unlimited,Art Rare,Holofoil,Takeshi Nakamura,Near Mint,4.99,2.91,https://guardiantcg.app/pokemon-jp/sv4m-future-flash/iron-moth-069-066?id=240018,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11609_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11609_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11609,batch-MTG0013b.- card 26.jpeg,batch-MTG0013b.- card 27.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864285011,158265511850,https://www.ebay.com/itm/158265511850
PA-11610,Pokemon TCG,Delibird,Mega Symphonia,074/063,2025,Japanese,Unlimited,Art Rare,Holofoil,Takeshi Nakamura,Near Mint,4.99,1.68,https://guardiantcg.app/pokemon-jp/m1s-mega-symphonia/delibird-074-063-074-063,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11610_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11610_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11610,batch-MTG0013b.- card 28.jpeg,batch-MTG0013b.- card 29.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864295011,158265511842,https://www.ebay.com/itm/158265511842
PA-11611,Pokemon TCG,Teal Mask Ogerpon,Scarlet & Violet Black Star Promos,SVP 123,2024,English,Unlimited,Promo,Holofoil,kodama,Near Mint,3.49,1.60,https://www.tcgplayer.com/product/552785/pokemon-sv-scarlet-and-violet-promo-cards-teal-mask-ogerpon-123,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11611_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11611_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11611,batch-MTG0013b.- card 30.jpeg,batch-MTG0013b.- card 31.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864305011,158265511855,https://www.ebay.com/itm/158265511855
PA-11612,Pokemon TCG,Spinda,MEGA Dream ex,213/193,2025,Japanese,Unlimited,Art Rare,Holofoil,Yukihiro Tada,Near Mint,4.99,1.75,https://guardiantcg.app/sets/m2a-high-class-pack-mega-dream-ex-pokemon-japan/price-guide,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11612_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11612_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11612,batch-MTG0013b.- card 32.jpeg,batch-MTG0013b.- card 33.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864306011,158265511849,https://www.ebay.com/itm/158265511849
PA-11613,Pokemon TCG,Electabuzz,Crimson Haze,073/066,2024,Japanese,Unlimited,Art Rare,Holofoil,Tonji Matsuno,Near Mint,4.99,1.78,https://guardiantcg.app/sets/sv5a-crimson-haze-pokemon-japan/most-valuable,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11613_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11613_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11613,batch-MTG0013b.- card 34.jpeg,batch-MTG0013b.- card 35.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864312011,158265511870,https://www.ebay.com/itm/158265511870
PA-11614,Pokemon TCG,Gumshoos,Mega Brave,075/063,2025,Japanese,Unlimited,Art Rare,Holofoil,Mina Nakai,Near Mint,4.99,1.58,https://guardiantcg.app/pokemon-jp/m1l-mega-brave/gumshoos-075-063,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11614_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11614_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11614,batch-MTG0013b.- card 36.jpeg,batch-MTG0013b.- card 37.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864343011,158265511856,https://www.ebay.com/itm/158265511856
PA-11615,Pokemon TCG,Raticate,Nihil Zero,092/080,2026,Japanese,Unlimited,Art Rare,Holofoil,Mina Nakai,Near Mint,4.99,1.84,https://guardiantcg.app/pokemon-jp/m3-nihil-zero/raticate-092-080?id=297328,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11615_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11615_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11615,batch-MTG0013b.- card 38.jpeg,batch-MTG0013b.- card 39.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864369011,158265511865,https://www.ebay.com/itm/158265511865
PA-11616,Pokemon TCG,Koraidon,Scarlet & Violet Black Star Promos,SVP 014,2023,English,Unlimited,Promo,Holofoil,Mina Nakai,Near Mint,6.49,4.85,https://www.tcgplayer.com/search/all/product?q=svp+014,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11616_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11616_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11616,batch-MTG0013b.- card 40.jpeg,batch-MTG0013b.- card 41.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864376011,158265511868,https://www.ebay.com/itm/158265511868
PA-11617,Pokemon TCG,AZ's Tranquility,Chaos Rising,106/086,2026,English,Unlimited,Ultra Rare,Holofoil,GIDORA,Near Mint,3.49,1.57,https://www.tcgplayer.com/product/693450,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11617_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11617_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11617,batch-MTG0013b.- card 42.jpeg,batch-MTG0013b.- card 43.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864381011,158265511859,https://www.ebay.com/itm/158265511859
PA-11618,Pokemon TCG,Ditto,Scarlet & Violet 151,132/165,2023,English,Unlimited,Rare,Holofoil,KIYOTAKA OSHIYAMA,Near Mint,1.49,0.30,https://www.tcgplayer.com/search/pokemon/product?q=Ditto+132%2F165,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11618_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11618_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11618,batch-MTG0013b.- card 44.jpeg,batch-MTG0013b.- card 45.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864386011,158265511853,https://www.ebay.com/itm/158265511853
PA-11619,Pokemon TCG,Ambipom,Inferno X,092/080,2025,Japanese,Unlimited,Art Rare,Holofoil,Shigenori Negishi,Near Mint,4.99,1.50,https://guardiantcg.app/pokemon-jp/inferno-x/mismagius-ex-97/similar?id=237825,ART RARE FLOOR $4.99,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11619_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11619_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11619,batch-MTG0013b.- card 46.jpeg,batch-MTG0013b.- card 47.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864396011,158265511854,https://www.ebay.com/itm/158265511854
PA-11620,Pokemon TCG,Feraligatr,"Gold, Silver, to a New World...",No.160,1999,Japanese,Unlimited,Holo Rare,Holofoil,Ken Sugimori,Moderately Played,19.99,18.13,https://www.pricecharting.com/game/pokemon-japanese-gold-silver-new-world/feraligatr-160,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11620_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11620_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11620,batch-MTG0013b.- card 48.jpeg,batch-MTG0013b.- card 49.jpeg,"Japanese, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864401011,158265511869,https://www.ebay.com/itm/158265511869
PA-11621,Pokemon TCG,Cyndaquil,Neo Genesis,56/111,2000,English,1st Edition,Common,Regular,Ken Sugimori,Moderately Played,6.99,5.25,https://www.pricecharting.com/game/pokemon-neo-genesis/cyndaquil-1st-edition-56,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11621_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11621_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11621,batch-MTG0013b.- card 50.jpeg,batch-MTG0013b.- card 51.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864428011,158265511983,https://www.ebay.com/itm/158265511983
PA-11622,Pokemon TCG,Diglett,Expedition Base Set,106/165,2002,English,Unlimited,Common,Reverse Holofoil,Masako Yamashita,Moderately Played,21.99,18.00,https://www.pricecharting.com/game/pokemon-expedition/diglett-reverse-holo-106,MARKET PLUS $1-$2; GENERAL FLOOR $1.49,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11622_front.jpg,/Users/adamfinck/Documents/ChatGPT/Pocket Archives/inventory/Batch 117 - Pokemon Ultrarare Binder - PA-11596-PA-11623/02 Listing Images/PA-11622_back.jpg,Ultrarare Binder,LISTED - ACTIVE EBAY,,2026-09-06-pa-11622,batch-MTG0013b.- card 52.jpeg,batch-MTG0013b.- card 53.jpeg,"English, collector number, finish, rarity, and illustrator verified from scan. Condition confirmed by user on 2026-09-06. Proposed price only; Published to eBay after user authorization on 2026-09-06; post-publish API audit passed.",257864436011,158265511981,https://www.ebay.com/itm/158265511981
