source_id,title,author_or_interviewee,publication,original_date,language,source_class,url_or_location,sections_supported,reliability_notes,status
PA-SRC-0011,Tajiri and Ishihara on Pokémon's beginnings,Satoshi Tajiri and Tsunekazu Ishihara,Nintendo Online Magazine,2000-07,Japanese,Official retrospective participant interview,https://lavacutcontent.com/satoshi-tajiri-ishihara-interview/,Early relationship; six-month expectation; commissioned projects; financing; international assumptions,Modern commissioned translation includes editorial commentary that must be separated from interview text,in review
PA-SRC-0012,First-generation craftsmanship,Junichi Masuda; Tsunekazu Ishihara; Yuji Kawashima,Denfaminicogamer,2018-06-08,Japanese,Retrospective participant interview,https://news.denfaminicogamer.jp/interview/180608/3,512 KB cartridge; assembly; byte recovery; names; sound programming,Technical recollections decades later; compare with ROM and source analysis,reviewed
PA-SRC-0013,すべてのはじまり ポケットモンスター赤緑の楽曲に迫る,Junichi Masuda and Game Freak sound staff,2083WEB,2014,Japanese,Retrospective specialist interview,https://www.2083.jp/contents/201410gamefreak/page_01.html,Sound engine; music; cries; effects; storage tradeoffs,Retrospective but detailed role testimony,reviewed
PA-SRC-0014,Just Making the Last Train,Tsunekazu Ishihara and Satoru Iwata,Nintendo Iwata Asks,2009,Japanese and official English,Official retrospective participant interview,https://iwataasks.nintendo.com/interviews/ds/pokemon/0/0/,1990 planning; October 1995 completion; February release; Game Boy decline,Edited official retrospective; cross-check exact Japanese wording,reviewed
PA-SRC-0015,Pikachu origin creator interview,Ken Sugimori; Koji Nishino; Atsuko Nishida,The Pokémon Company,2018-06,Japanese and official English,Official retrospective participant interview,https://prtimes.jp/main/html/rd/p/000000026.000026665.html,Collaborative authorship; Pikachu and Raichu; Gorochu; revisions; official art; anime changes,Official feature page is no longer reliably indexed; press release and preserved versions establish provenance,in review
PA-SRC-0016,CoroCoro 1996 archive retrospective,CoroCoro editorial archive,CoroCoro Online,2019,Japanese,Publisher archival retrospective,https://corocoro-news.jp/news/49271/,First Pokémon coverage; Mew offer; applicant count; manga; Blue mail order,Modern summary built from publisher archive; cite individual 1996 pages for exact rules,reviewed
PA-SRC-0017,Pocket Monsters Red and Green official product record,The Pokémon Company,The Pokémon Company,1996 / current archive,Japanese,Official product record,https://www.pokemon.co.jp/game/other/gb-rg/,Release date; version differences; trading,Modern archive copy may describe later compatibility; separate original packaging claims,reviewed
PA-SRC-0018,Pokémon Card Game 25th Anniversary Chronicle,The Pokémon Company / Creatures,Pokémon Card Game,2021,Japanese,Official corporate chronology,https://www.pokemon-card.com/ex/25th/chronicle/,Japanese TCG release date; organized play; later product milestones,Anniversary chronology does not establish rival card-product dates,reviewed
PA-SRC-0019,Pokémon Card Game business history,Creatures Inc.,Creatures Inc.,current,Japanese,Official corporate history,https://www.creatures.co.jp/service/cardgame,Creatures role; 1996 start; production continuity,High-level corporate summary without original staff credits,reviewed
PA-SRC-0020,Interview on Pokémon Card Game production,Creatures card developers,Famitsu,2019-03-14,Japanese,Retrospective institutional interview,https://www.famitsu.com/news/201903/14173198.html,TCG conception; Ishihara role; development process,Origin account is explicitly secondhand because speaker joined later,in review
PA-SRC-0021,CGC Statement on Pokémon Prototype and Playtest Cards,CGC,CGC Cards,2025-01-31 / updated 2025-02-04,English,Grading-company incident notice,https://www.cgccards.com/news/article/13730/,Akabane-market controversy; questioned authenticity; affected certificates,Not a final forensic report; does not publish printer-mark analysis,reviewed
PA-SRC-0022,Interview with Kunihiko Yuyama,Kunihiko Yuyama,Trance Cell preservation,2017,Japanese,Retrospective participant interview,https://trance-cell.com/interview-youc/,Pikachu partner choice; anime adaptation logic,Preservation/interview page; compare with publication provenance,in review
PA-SRC-0023,Masakazu Kubo editor interview,Masakazu Kubo,Hobonichi,2021-10-28,Japanese,Retrospective participant interview,https://www.1101.com/n/s/14editors/masakazu_kubo/2021-10-28.html,CoroCoro; anime planning; Pikachu choice,Decades-later memoir; compare with contemporary editorial records,in review
PA-SRC-0024,Anime Style screenplay memoir columns,Takeshi Shudo,WEB Anime Style,2008-2010,Japanese,Retrospective creator memoir,https://www.style.fm/as/05_column/shudo201.shtml,Anime themes; writing-room decisions; character structure,Personal recollection; cite specific columns and compare against scripts,in review
PA-SRC-0025,Pokémon international and corporate sequence interview,Tsunekazu Ishihara,Famitsu,2023-10-19,Japanese,Retrospective participant interview,https://www.famitsu.com/news/202310/19320055.html,Japan versus US media order; international planning,Decades-later edited interview,in review
PA-SRC-0026,Just Being President Was A Waste,Satoru Iwata; Tsunekazu Ishihara; Shigeki Morimoto,Nintendo Iwata Asks,2009,Japanese and official English,Official retrospective participant interview,https://www.nintendo.com/en-gb/Iwata-Asks/Iwata-Asks-Pokemon-HeartGold-Version-SoulSilver-Version/Iwata-Asks-Pokemon-HeartGold-Version-SoulSilver-Version/3-Just-Being-President-Was-A-Waste-/3-Just-Being-President-Was-A-Waste--225951.html,US localization; Red Green code analysis; Stadium battle logic; graphics tools,Often misquoted as proving Iwata compressed Gold Silver to fit Kanto; source does not say that,reviewed
PA-SRC-0027,The Pokémon Company history,The Pokémon Company,The Pokémon Company,current,Japanese and English,Official corporate chronology,https://corporate.pokemon.co.jp/aboutus/history,Media dates; Pokémon Center company; first store; 2000 renaming,Selective high-level chronology,reviewed
PA-SRC-0028,Pokémon Kids history,Bandai Candy,Bandai,current,Japanese,Manufacturer product history,https://www.bandai.co.jp/candy/pokemonkids/,1996 series beginning; figure format,Exact first-wave date and assortment omitted,in review
PA-SRC-0029,Monster Collection history,Takara Tomy,Takara Tomy,2010-09-22,Japanese,Manufacturer product history,https://www.takaratomy.co.jp/product_release/pdf/p100922.pdf,1997 series beginning; figure scale and format,Conflicts with a Takara Tomy Arts page stating 1996; requires first-wave catalog,reviewed
PA-SRC-0030,PSA Set Registry 1999 Base Set feature,PSA / Scott Pratte,Professional Sports Authenticator,2016,English,Grading-company collecting feature,https://www.psacard.com/articles/articleview/8911/psa-set-registry-collecting-1999-poke-mon-1st-edition-gaming-card-base-series-started-all,Condition hierarchy; registry culture; historic collector price recollection,Commercial content and anecdotal 2008 and 2016 prices,in review
PA-SRC-0031,Gotta catch em all pandemic sends prices soaring,Reuters,Reuters,2021-02,English,Contemporary news report,https://www.investing.com/news/general/gotta-catch-em-all-pandemic-sends-prices-soaring-for-pokemon-cards-2426882,2020-21 collecting boom; lockdown context,Market story emphasizes spectacular auction results,reviewed
PA-SRC-0032,Heritage first TCG auction results,Heritage Auctions,Heritage Auctions,2021-07-28,English,Auction-house primary market record,https://comics.ha.com/heritage-auctions-press-releases-and-news/smashing-debut-heritage-auctions-first-trading-card-games-event-tops-3.4-million.s?releaseId=4254,2021 auction event total; sealed box result,Auction-house publicity; not a broad price index,reviewed
PA-SRC-0033,The five million dollar Pokémon card,Guinness World Records,Guinness World Records,2022-07,English,Record-certification report,https://www.guinnessworldrecords.com/news/2022/7/the-5-million-pokemon-card-inside-logan-pauls-record-breaking-trade-708581,Illustrator private-sale record; transaction structure,Trophy outlier; documentation not public in full,reviewed
PA-SRC-0034,Pokémon grading surge,Axios / PSA president Ryan Hoge,Axios,2024-06-28,English,Contemporary business reporting,https://www.axios.com/2024/06/28/pokemon-card-psa-grading-value,Share of PSA grading volume in 2018 and 2023,Company-provided statistics and market interpretation,in review
PA-SRC-0035,Pikachu Illustrator sells for 16.5 million,Associated Press,Associated Press,2026-02,English,Contemporary independent news report,https://apnews.com/article/e4f17184466589e7313b58de734a06ad,2026 public auction record; buyer and seller,Trophy outlier; final fee treatment should be checked against auction invoice,reviewed
PA-SRC-0036,ANA Pokémon Jet enters Japanese service,All Nippon Airways,ANA,1998-06-03,Japanese,Contemporary corporate press release,https://www.ana.co.jp/pr/980406-J/980603.html,2 July launch; two aircraft; cabin paper cups; headrest covers; aprons; in-flight film,Primary for ANA program but gives the Red/Green release date incorrectly as 28 February,in review
PA-SRC-0037,Pokémon Bread product-history statement,Daiichi Pan / Takara Tomy,Daiichi Pan and Takara Tomy,2015-07-15,Japanese,Manufacturer retrospective press release,https://www.takaratomy.co.jp/product_release/pdf/p150715.pdf,June 1998 Pokémon Bread launch; sticker collecting system,Later corporate statement; first-wave wrapper and distributor documentation still required,in review
PA-SRC-0038,First Pokémon Center Tokyo opening flyer,Unknown commercial designer / Pokémon Center,Trance Cell preservation of contemporary flyer,1998-04-25,Japanese,Contemporary promotional artifact preserved by collector archive,https://trance-cell.com/db/ghahey98aha/,Opening date; 11:00 time; Nihonbashi address; hours,Digital provenance depends on preservation site; physical flyer chain of custody not published,in review
PA-SRC-0039,Pokémon Center Tokyo DX interview,Yoriomi Uego,Famitsu,2018-03-27,Japanese,Retrospective participant executive interview,https://www.famitsu.com/news/201803/27153897.html,First Pokémon Center opening date and retail history,Twenty-year retrospective; use contemporary flyer for public-opening details,reviewed
PA-SRC-0040,JR East Pokémon Stamp Rally 1997 archival record,PokéBoon / reproduced contemporary report,PokéBoon,1997 event / modern preservation,Japanese,Archival secondary research with surviving-object references,https://pokeboon.com/jp/promo_event/jr-east-japan-pokemon-stamp-rally/,Thirty-station structure; ten- and thirty-station prizes; Surfing Pikachu and Mew cards,Underlying contemporary article and physical reward folder should be cataloged separately,in review
PA-SRC-0041,Iwata Asks Pokémon Black and White art-direction interview,Ken Sugimori / Satoru Iwata,Nintendo,2010,Japanese and official English,Official retrospective participant interview,https://iwataasks.nintendo.com/interviews/ds/pokemon-black-white/0/1/,Collective design; Sugimori judgment and final official illustration workflow,Describes mature workflow in 2010 and cannot be projected unchanged onto every 1990-96 asset,reviewed
PA-SRC-0042,TV Tokyo apologizes to Diet over injurious animation,Yutaka Ichiki / Japan Times reporter,The Japan Times,1997-12-24,English,Contemporary news report of corporate testimony,https://www.japantimes.co.jp/news/1997/12/24/national/tv-tokyo-apologizes-to-diet-over-injurious-animation/,Episode 38 audience estimate; 685 hospital transports; apology; suspected flashing technique,Contemporary report rather than verbatim Diet transcript; diagnoses must not be inferred from transport count,reviewed
PA-SRC-0043,Five Years after the Pocket Monster Seizures,Takahashi and Tsukahara,New England Journal of Medicine,2004-07-22,English,Peer-reviewed medical follow-up,https://www.nejm.org/doi/abs/10.1056/NEJM200407223510424,Follow-up cohort; prior-epilepsy and no-prior-epilepsy groups,Follow-up sample is not the entire exposed population and should not be used to restate the original transport total,reviewed
PA-SRC-0044,TVQ 35th anniversary 1997 incident record,TVQ Kyushu Broadcasting,TVQ,current retrospective,Japanese,Broadcaster institutional history,https://www.tvq.co.jp/history35th/modal/h1997-09.html,Affiliate emergency response; paka-paka technique; 1998 industry guidelines,Later corporate summary; obtain original investigation and guideline documents,in review
PA-SRC-0045,Nintendo history Europe,Nintendo of Europe,Nintendo,current,English,Official corporate chronology,https://www.nintendo.com/en-gb/Hardware/Nintendo-History/Nintendo-History-625945.html,8 October 1999 Europe-wide Pokémon release statement,High-level regional date conflicts with earlier UK street reporting; likely different geographic scope,in review
PA-SRC-0046,Creature feature UK launch report,The Guardian staff,The Guardian,1999-10-01,English,Contemporary newspaper report,https://www.theguardian.com/business/1999/oct/01/8,Westminster launch and UK shop timing; early product ecology,Brief report; should be paired with Nintendo UK retail and distributor records,reviewed
PA-SRC-0047,Our friends electric UK prelaunch feature,The Observer,The Observer,1999-09-26,English,Contemporary newspaper feature,https://www.theguardian.com/theobserver/1999/sep/26/life1.lifemagazine3,UK prelaunch fandom; television; trading event; stated 1 October launch,Feature journalism; quoted dates and claims require comparison with broadcaster and retailer records,in review
PA-SRC-0048,Pokemon craze blamed for schoolyard bad behaviour,Rachel Mealey,ABC PM,1999-11-22,English,Contemporary public-broadcaster radio transcript,https://www.abc.net.au/pm/archive/articles/1999/11/22/s67800.htm,Australian schoolyard card culture; supply constraints; adult reaction,Establishes reception by Nov 1999 but not first anime/game/TCG release dates,reviewed
PA-SRC-0049,The Art of Balance Pokémon's Masuda on Complexity and Simplicity,Junichi Masuda,Game Developer / Gamasutra,2009,English,Retrospective participant interview,https://www.gamedeveloper.com/design/the-art-of-balance-pok-mon-s-masuda-on-complexity-and-simplicity,Trading as basic concept; Miyamoto paired-cartridge suggestion,Retrospective English interview; compare exact wording with Japanese participant accounts,reviewed
PA-SRC-0050,Many of the Pokemon playtest cards were likely printed in 2024,PFM / collector-researcher,Elite Fourum,2025-01-27 onward,English,Open forensic collector investigation,https://www.elitefourum.com/t/many-of-the-pokemon-playtest-cards-were-likely-printed-in-2024/52421,Printer tracking-dot observations; variant grouping; evidentiary images,Not institutional peer review; conclusions differ by variant and require preservation of scans and decoding method,in review
PA-SRC-0051,Meiji Pokémon Get Card checklist and product chronology,Card Check Box collector-research archive,Card Check Box,1997 products / current archive,Japanese,Well-sourced collector checklist,https://cardcheckbox.com/a07d-meijiseika/pokemon-gc.html,Chocolate-snack insertion method; 1997 first-wave claim; set structure,Not a manufacturer archive; exact release date and assortment must be verified from boxes or trade catalogs,in review
PA-SRC-0052,POKÉMIKKE third-series release,Showa Note,PR Times,2015-12-15,Japanese,Manufacturer press release,https://prtimes.jp/main/html/rd/p/000000002.000015458.html,Showa Note states it has made Pokémon children's stationery since the 1997 anime launch,Later promotional statement; does not enumerate the first 1997 range,reviewed
PA-SRC-0053,1996 verified timeline of Pokémon card release dates,Elite Fourum researchers,Elite Fourum,2022 onward,Japanese scans with English commentary,Well-sourced collector reconstruction,https://www.elitefourum.com/t/1996-verified-timeline-of-pokemon-card-release-dates/37138,Carddass News 51; CoroCoro page transcriptions; Carddass and TCG chronology; Pokemon Kids and playing cards,Use underlying magazine pages as primary evidence; some date conversions are researcher interpretation,in review
PA-SRC-0054,Pokémon Carddass Parts 1 and 2 archival article,Bulbapedia Project Merchandise contributors,Bulbapedia,current,English with Japanese sources,Encyclopedic source index and object census,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Carddass_Part_1,Set structure; vending price and format; CoroCoro page 154; vending-header evidence,Trace claims to Carddass News CoroCoro and physical packaging; not itself primary,reviewed
PA-SRC-0055,Pokémon Carddass Parts 3 and 4 archival article,Bulbapedia Project Merchandise contributors,Bulbapedia,current,English with Japanese sources,Encyclopedic source index and object census,https://bulbapedia.bulbagarden.net/wiki/Pok%C3%A9mon_Carddass_Part_3_%26_4,Mid-April and early-June 1997 schedule; action-art system; special cards; jumbo evidence,Artist attribution and unique-use claims need original Bandai credits or participant testimony,in review
