"id","period","year","object","why_it_matters","target_usd_2026","difficulty_1_5","where_to_look","verification_priority","source_basis"
"PA-A011","Prelaunch","1995","Space World 1995 catalog or attendee guide listing Pocket Monsters","Contemporary proof of the public prelaunch phase and the once-planned 1995 schedule.","150-1000","4","Yahoo Japan; Mandarake; event-paper collectors","Require dated event imprint and page showing title; distinguish catalog from later recap.","Unresolved-question register; contemporary source needed"
"PA-A012","Prelaunch","1995","Famitsu issue with early Pocket Monsters announcement","Establishes what Japanese readers could know before launch and preserves early screenshots/copy.","50-300","3","Yahoo Japan; Mandarake; Japanese magazine dealers","Verify cover date, issue number, complete pages, and any printed release date.","PA-SRC-0014 context"
"PA-A013","Launch documentation","1996","First-print Pocket Monsters Illustrated Book (ポケットモンスター図鑑)","Contains near-contemporary staff testimony, lore, and early official illustration practice.","40-250","2","Mandarake; Yahoo Japan; Japanese used-book stores","Use colophon to resolve first-print date; record ISBN 4-89366-494-8 and printing.","PA-SRC-0010"
"PA-A014","Launch software","1996","Japanese Pocket Monsters Red complete in box","One half of the original paired retail object.","120-450","2","Mandarake; Suruga-ya; eBay; Yahoo Japan","Verify box, manual, map/insert, cartridge board, and battery status.","PA-SRC-0017"
"PA-A015","Launch software","1996","Japanese Pocket Monsters Green complete in box","The counterpart required to explain version difference and exchange.","120-450","2","Mandarake; Suruga-ya; eBay; Yahoo Japan","Pair with Red while preserving independent condition and serial records.","PA-SRC-0017"
"PA-A016","Launch software","1996","Red and Green retailer counter display or poster","Shows how a quiet late-Game Boy release was presented at point of sale.","500-4000","4","Mandarake; Yahoo Japan; Japanese advertising-paper dealers","Demand size, printer marks, reverse photographs, and documented store origin.","PA-SRC-0014; PA-SRC-0017"
"PA-A017","Launch software","1996","Japanese Red/Green instruction manual pair","Low-cost original source for the promised 150-creature collection and link functions.","15-60","1","eBay; Yahoo Japan; retro-game parts sellers","Use loose originals for hands-on display; compare text and illustrations by version.","PA-SRC-0017"
"PA-A018","Launch software","1996","Japanese Red/Green foldout map or strategy insert","Materializes Kanto as a navigable place and early visual language.","20-100","1","Yahoo Japan; eBay; game-paper lots","Identify whether pack-in, guide insert, or aftermarket map.","PA-SRC-0017"
"PA-A019","Launch publicity","1996","CoroCoro March 1996 issue with first Pokémon coverage","The magazine's earliest documented bridge from retail obscurity to child audience.","100-600","4","Mandarake; Yahoo Japan; Japanese magazine specialists","Confirm all Pokémon pages and inserts; cite printed issue date.","PA-SRC-0016"
"PA-A020","Mew phenomenon","1996","CoroCoro May 1996 issue with first twenty-reader Mew offer","The key physical source for Mew becoming an authorized scarce digital object.","200-1200","4","Mandarake; Yahoo Japan; specialist Pokémon paper dealers","Require intact entry form where possible; photograph rules, deadline, and contact details.","PA-SRC-0016"
"PA-A021","Mew phenomenon","1996","CoroCoro issue announcing Mew winners or follow-up offer","Documents the 78,000-response aftermath and expansion beyond the first twenty.","100-700","4","Mandarake; Yahoo Japan","Identify exact month/issue and whether offer or results; do not merge campaigns.","PA-SRC-0016"
"PA-A022","Mew phenomenon","1996","Authenticated original Mew distribution cartridge or winner documentation","A direct artifact of software data distributed through magazine logistics.","10000-100000+","5","Major auction houses; documented private collections","Only acquire with continuous provenance, cartridge ID evidence, original letters, and forensic save analysis.","PA-SRC-0016; event-preservation audit pending"
"PA-A023","Sales inflection","1996","Red/Green one-million-copies campaign advertisement","Contemporary evidence for the date and language of the first major sales milestone.","100-800","4","Yahoo Japan; CoroCoro/Famitsu lots; advertising-paper dealers","Verify original publication and distinguish shipments from sell-through.","Unresolved question 8"
"PA-A024","Blue version","1996","CoroCoro Blue-version mail-order application issue","Shows a game version used as a magazine-exclusive collectible and demand engine.","100-600","3","Mandarake; Yahoo Japan","Prefer intact application material; record issue and mail deadline.","PA-SRC-0016"
"PA-A025","Blue version","1996","Japanese Pocket Monsters Blue limited-mail-order edition complete in box","Connects revised sprites, exclusive retail, and collector versioning.","100-400","2","Mandarake; Yahoo Japan; eBay","Distinguish original limited distribution from 1999 general-retail printing.","PA-SRC-0016"
"PA-A026","Early printed imagery","1996","Bandai Carddass Part 1 common card","Affordable example of the probable first mass-retail Pokémon card series.","5-30","1","eBay; Yahoo Japan; card dealers","Check Part 1 numbering/back and avoid grading labels as sole date evidence.","Carddass chronology in Part VII"
"PA-A027","Early printed imagery","1996","Bandai Carddass Part 1 prism card","Represents vending-machine chase design before the TCG's retail launch.","60-400","2","eBay; Yahoo Japan; vintage Japanese card dealers","Verify prism pattern, edges, and series back; document vending origin if known.","Carddass chronology in Part VII"
"PA-A028","Early printed imagery","1996","Complete Bandai Carddass Part 1/2 binder set","Allows the first 151 to be viewed as a paper image taxonomy.","1200-5000","4","Japanese auction sites; specialist set dealers","Inventory every number and variant; avoid assembled sets with undisclosed replacements.","Carddass chronology in Part VII"
"PA-A029","TCG pre-retail","1996","CoroCoro glossy Pikachu playable promo","One of the earliest publicly issued cards compatible with the Creatures TCG.","80-500","3","eBay; Yahoo Japan; Japanese promo dealers","Confirm glossy stock and magazine provenance; distinguish later reprints.","PA-SRC-0018"
"PA-A030","TCG pre-retail","1996","CoroCoro glossy Jigglypuff playable promo","The companion piece needed to explain the pre-retail magazine introduction.","60-400","3","eBay; Yahoo Japan; Japanese promo dealers","Confirm stock and issue association.","PA-SRC-0018"
"PA-A031","TCG launch","1996","Japanese first starter deck with rulebook and counters","The most complete affordable object for explaining how the original card game was taught.","250-1200","3","Mandarake; eBay; Yahoo Japan; TCG specialists","Inventory deck, rulebook, counters, damage markers, and packaging; opened complete is preferable to sealed for display.","PA-SRC-0018; PA-SRC-0019"
"PA-A032","TCG launch","1996","Japanese Base Set booster pack","The randomized retail unit that turned Pokémon into a paper acquisition economy.","250-900","3","Established vintage TCG dealers; major marketplaces","Weighing and resealing risk; acquire with provenance or display empty wrapper at lower cost.","PA-SRC-0018"
"PA-A033","TCG launch","1996","Empty Japanese Base Set booster wrapper set","Low-cost packaging record of the launch product and visual system.","40-180","2","eBay; Yahoo Japan; wrapper specialists","Confirm genuine crimps and all wrapper variants; label as empty.","PA-SRC-0018"
"PA-A034","TCG launch","1996","Japanese Base Set no-rarity common card","Explains first-print identification without making Charizard the whole story.","20-150","2","Vintage TCG dealers; eBay; Yahoo Japan","Verify absence of rarity symbol and print characteristics; choose a legible low-cost species.","PA-SRC-0018"
"PA-A035","TCG illustration","1996","Mitsuhiro Arita Japanese Base Set card","Introduces commissioned scene-based illustration and credited artists.","5-100","1","Card shops; eBay; Yahoo Japan","Select a card with clear artist credit and document set/printing.","PA-SRC-0018"
"PA-A036","TCG illustration","1996","Keiji Kinebuchi CGI-style Japanese Base Set card","Shows that the first set already used materially different image-making methods.","5-80","1","Card shops; eBay; Yahoo Japan","Choose an intact affordable example; capture artist line.","PA-SRC-0018"
"PA-A037","TCG illustration","1996","Ken Sugimori Japanese Base Set stock-art card","Connects unified game illustration to the card game's visual taxonomy.","5-100","1","Card shops; eBay; Yahoo Japan","Separate no-rarity and later printings in catalog data.","PA-SRC-0018"
"PA-A038","TCG rules","1996","Original Japanese TCG rulebook","Primary source for original credits, terminology, deck construction, and play.","40-250","3","Starter-deck parts; Yahoo Japan; Japanese TCG dealers","Prioritize first printing; scan all credit/copyright pages.","PA-SRC-0018; unresolved question 10"
"PA-A039","TCG retail","1996","Media Factory dealer order sheet or counter poster","Establishes product codes, prices, and retail timing beyond anniversary summaries.","300-2500","5","Japanese trade-paper dealers; former hobby-shop collections","Require printer/date marks and store provenance.","PA-SRC-0018"
"PA-A040","Disputed prototype history","1995-96 design / disputed print","Documented digital image or licensed facsimile of an early playtest layout","Can teach rule evolution without representing a disputed sheet as an original artifact.","25-300","2","Published research; authorized exhibitions; licensed reproductions","Label explicitly as reproduction; preserve the source image and controversy record.","PA-SRC-0021"
"PA-A041","Disputed prototype history","2024-25","CGC recall notice and affected-label market documentation","A collecting-history artifact showing how provenance and authentication can fail.","0-100","1","Printed archival packet; saved web PDF; auction catalogs","Preserve URLs, capture dates, certification list, and final-status updates.","PA-SRC-0021"
"PA-A042","Early toys","1996","First-wave Bandai Pokémon Kids figure with packaging","An early low-cost object turning the roster into tactile, repeatable collecting.","30-250","3","Mandarake; Yahoo Japan; vintage candy-toy dealers","Packaging is critical; establish wave and month from box/leaflet.","PA-SRC-0028"
"PA-A043","Early toys","1996","First-wave Pokémon Kids paper checklist/card","The ephemeral collecting infrastructure is often more informative than the figure alone.","15-120","3","Japanese toy-paper lots; Yahoo Japan","Confirm association with first wave; avoid loose later checklist substitutions.","PA-SRC-0028"
"PA-A044","Early toys","1996","Tomy early Pokémon plush with original tag","Shows the move from sprite/illustration to soft character commodity before the anime stabilized proportions.","80-600","3","Mandarake; Yahoo Japan; vintage plush specialists","Use tag codes and copyright block to date; document repairs and fading.","Manufacturer catalog verification pending"
"PA-A045","Early toys","1997","First-wave Tomy Monster Collection figure with package","The small figure line functioned as a three-dimensional Pokédex.","40-300","3","Mandarake; Yahoo Japan; vintage toy dealers","Resolve 1996/1997 corporate date conflict through package code and catalog.","PA-SRC-0029"
"PA-A046","Manga","1996","First CoroCoro issue of Kosaku Anakubo's Pocket Monsters serialization","Shows Pokémon becoming a recurring character narrative before television.","80-500","3","Mandarake; Yahoo Japan; Japanese magazine dealers","Confirm November 1996 issue and complete story pages.","PA-SRC-0016"
"PA-A047","Manga","1996","First tankōbon of Kosaku Anakubo's Pocket Monsters","Durable book form of the earliest long-running Pokémon manga adaptation.","20-100","1","Japanese used-book stores; Mandarake; eBay","Record printing number and obi if present.","PA-SRC-0016 context"
"PA-A048","Anime planning","1996-97","Authenticated production proposal or series bible page","Direct evidence for adaptation decisions, sponsor structure, and early character roles.","3000-25000","5","Major animation auctions; former-staff provenance; Japanese manuscript dealers","Require studio/production marks, page sequence, and chain of custody; reject unattributed photocopies.","PA-SRC-0022; PA-SRC-0024"
"PA-A049","Anime launch","1997","TV Tokyo program guide or newspaper listing for 1 April premiere","Contemporary proof of the anime's broadcast time and positioning.","50-400","4","Japanese newspaper archives; television ephemera dealers; Yahoo Japan","Verify regional edition and date; preserve full page context.","PA-SRC-0027"
"PA-A050","Anime launch","1997","Japanese VHS or LaserDisc volume containing episode 1","The first episode as an original home-video retail object.","25-150","2","Mandarake; Yahoo Japan; Japanese media stores","Confirm episode listing, release date, inserts, and playback condition.","PA-SRC-0027"
"PA-A051","Anime production","1997","Episode 1 production cel with matching background or sequence evidence","Material trace of the hand-painted adaptation that made Pikachu move and emote.","1500-15000","5","Heritage; Mandarake; established animation-art dealers","Require scene match, peg holes, sequence number, studio provenance; background must be identified as matching or nonmatching.","PA-SRC-0022"
"PA-A052","Anime production","1997","Episode 1 genga/douga drawing","Shows animation construction more directly and affordably than a celebrity cel.","300-3000","4","Mandarake; Japanese animation-art dealers","Scene-match and authenticate paper, corrections, cut number, and studio marks.","PA-SRC-0022"
"PA-A053","Anime design","1997","Original-series Pokémon settei/model sheet","Documents standardized proportions and views used across episodes and licensing.","100-1200","3","Mandarake; settei.net provenance only as reference; Japanese animation-paper dealers","Prefer stamped production copy or documented original-generation photocopy; do not call photocopies original drawings.","PA-SRC-0024"
"PA-A054","Anime writing","1997","Episode script credited to Takeshi Shudō","Primary text for comparing broadcast episode with the series organizer's later memoir.","300-2500","4","Mandarake; Japanese script dealers; staff collections","Verify title, draft, date, production stamp, and handwritten revisions.","PA-SRC-0024"
"PA-A055","Anime music","1997","Mezase Pokémon Master Japanese CD single","The opening theme as a mass-market audio object in the franchise's acceleration.","10-60","1","Discogs; Japanese CD shops; eBay","Prefer first pressing with obi and inserts; document catalog number.","Corporate/anime discography verification pending"
"PA-A056","Anime character system","1997","Team Rocket motto episode script or storyboard page","Explains how recurring television characters gave the world episodic structure absent from the game.","400-4000","5","Animation auctions; Mandarake; staff-provenance dealers","Require episode/cut identification and chain of custody.","PA-SRC-0024"
"PA-A057","Broadcast crisis","1997","Japanese newspaper dated 17 Dec. 1997 reporting the Porygon incident","Contemporary evidence of the broadcast-health crisis and immediate public framing.","30-200","3","Newspaper archives; Yahoo Japan; library reproduction services","Preserve full article/page and edition; avoid later sensational recaps.","Anime research pending"
"PA-A058","Broadcast crisis","1998","TV Tokyo/Nintendo return-to-air notice or newspaper schedule","Documents institutional response and the anime's resumption.","50-400","4","Broadcast archives; Japanese trade papers; newspaper dealers","Verify issuer, date, and whether original notice or press reproduction.","Anime research pending"
"PA-A059","First film","1998","Japanese Mewtwo Strikes Back theatrical program","Combines production credits, promotional framing, and film-era visual culture.","20-120","1","Mandarake; Yahoo Japan; film-program dealers","Prefer complete program with inserts; record theatrical region if marked.","PA-SRC-0027"
"PA-A060","First film","1998","Ancient Mew Japanese theatrical card","A film-distributed card linking cinema attendance to collectible acquisition.","15-120","1","Card shops; eBay; Yahoo Japan","Identify Japanese version/printing and distribution context.","Film distribution source pending"
"PA-A061","Retail institution","1998","Pokémon Center Tokyo opening flyer or shopping bag","Physical evidence of Pokémon becoming a dedicated retail destination in Nihonbashi.","100-1000","4","Yahoo Japan; Mandarake; vintage Pokémon ephemera dealers","Date by address/logo/event copy; preserve folds as use history.","PA-SRC-0027"
"PA-A062","Retail institution","1998","Pokémon Center Tokyo opening-exclusive product with receipt","Connects branded place, exclusive goods, and verifiable purchase provenance.","250-2500","5","Japanese private collections; Yahoo Japan; specialist stores","Receipt and date are more important than grade; verify product was truly opening-exclusive.","PA-SRC-0027"
"PA-A063","International preparation","1998","Nintendo Power Pokémon promotional VHS","An unusually clear artifact of how Nintendo taught US families the franchise before purchase.","20-100","1","eBay; retro-game stores; VHS collectors","Confirm original sleeve/version and playable tape; digitize for preservation only within rights limits.","PA-SRC-0025 context"
"PA-A064","International preparation","1998","Nintendo Power Pokémon preview mini-guide or insert","Shows English naming, rules, maps, and marketing before/at the US launch.","20-120","2","eBay; Nintendo Power lots; retro-paper dealers","Identify issue and whether bound, loose insert, or mailer.","PA-SRC-0025"
"PA-A065","US anime launch","1998","US syndication station press kit or schedule","Proves the television-first sequence and local-market distribution.","100-1000","5","Broadcast ephemera dealers; station archives; 4Kids/Summit materials","Record station, market, air date, and provenance; syndication dates can vary.","PA-SRC-0025"
"PA-A066","US launch campaign","1998","Topeka 'ToPikachu' event newspaper or city proclamation reproduction","A vivid object from Nintendo's national publicity launch.","25-300","3","Kansas newspaper archives; city records; event memorabilia","Prefer certified archive copy or original newspaper; label reproduction status.","US launch research pending"
"PA-A067","US launch software","1998","Pokémon Red Version complete in box","The US cartridge that paired localization with unchanged creature silhouettes.","250-900","2","eBay; retro-game dealers; conventions","Verify box/manual/map, cartridge board, and ESRB/print variant.","PA-SRC-0025"
"PA-A068","US launch software","1998","Pokémon Blue Version complete in box","The localized partner version and visible Red/Blue competitive choice.","250-900","2","eBay; retro-game dealers; conventions","Pair with Red but catalog independently; verify print variant.","PA-SRC-0025"
"PA-A069","US localization","1998","English Red/Blue manual and map pair","Affordable primary evidence for translated names, instructions, and slogan system.","30-150","1","eBay; retro-game parts sellers","Match region and printing; preserve inserts separately.","PA-SRC-0025"
"PA-A070","US marketing","1998","Pikachu Volkswagen/New Beetle campaign press photograph","Represents the mobile US launch spectacle and character-first marketing.","50-500","4","Press-photo dealers; newspaper archives; Nintendo PR collections","Require agency stamp/caption/date; modern print is reference, not original press photo.","US launch research pending"
"PA-A071","US character merchandise","1998","Hasbro/Tiger Pokédex or electronic toy in package","Shows licensed hardware translating the game's database fantasy into a toy.","80-350","2","eBay; vintage toy dealers","Verify 1998 copyright/product code and battery damage.","PA-SRC-0025 context"
"PA-A072","US wearable companion","1998","Pokémon Pikachu virtual-pet device in package","An everyday carry object linking steps, care, and the mascot.","100-400","2","eBay; retro-handheld dealers","Confirm US versus Japanese model, inserts, and screen function.","US product chronology pending"
"PA-A073","US TCG introduction","1998","Wizards Pokémon Demo Game plastic pack","The teaching product used before the full English Base Set launch.","150-700","3","Vintage TCG dealers; eBay; auction houses","Authenticate sealed seam or complete opened contents; document distribution channel.","PA-SRC-0018; US TCG primary materials pending"
"PA-A074","US TCG launch","1999","English Base Set two-player starter deck complete","Best object for demonstrating the rules and mass US entry point.","150-650","2","Vintage TCG dealers; eBay; card shows","Opened complete is useful; inventory cards, rulebook, counters, and playmat.","PA-SRC-0018"
"PA-A075","US TCG launch","1999","English Base Set booster wrapper art set","Low-cost evidence of Wizards packaging and randomized retail.","30-120","1","eBay; wrapper dealers; card shows","Confirm authentic crimps and distinguish Base/long-pack variants.","PA-SRC-0018"
"PA-A076","US TCG launch","1999","First Edition Base Set common card","Explains the edition stamp and shadowless layout without trophy pricing.","5-40","1","Card shops; TCGplayer; eBay","Choose a clear low-cost example; catalog card number and illustrator.","PA-SRC-0030"
"PA-A077","US TCG launch","1999","Shadowless unlimited Base Set common card","Allows visitors to compare first-edition, shadowless, and unlimited production changes.","3-25","1","Card shops; TCGplayer; eBay","Pair same card number across printings for exact visual comparison.","PA-SRC-0030"
"PA-A078","US TCG launch","1999","Unlimited Base Set common card","Completes the affordable three-print teaching set.","1-10","1","Card shops; bulk lots; TCGplayer","Use same species/card as A076-A077 and record copyright/layout.","PA-SRC-0030"
"PA-A079","US school culture","1999","Contemporary school ban letter or newspaper report about Pokémon cards","Documents how intense child exchange collided with adult institutions.","30-300","4","Newspaper archives; family collections; school ephemera","Redact personal data; require date and institution provenance.","Collecting/social-history research pending"
"PA-A080","International media mix","1999","US Burger King Pokémon promotion complete kids-meal item with packaging","A mass-distribution artifact of Pokémania beyond specialist toy/game stores.","20-150","2","eBay; fast-food premium collectors","Verify promotion wave and packaging; distinguish recalls/reissues.","International merchandising source pending"
"PA-A081","International film","1999","Pokémon The First Movie US theatrical poster","Shows the franchise entering mainstream American cinema.","100-600","2","Movie-poster dealers; eBay; Heritage","Verify theatrical one-sheet dimensions and printing marks; avoid reproductions.","PA-SRC-0027 context"
"PA-A082","International film","1999","Ancient Mew English theatrical card in sealed pamphlet","The cinema-to-card acquisition mechanism in the US market.","20-120","1","Card shops; eBay; movie memorabilia dealers","Identify variant and packaging; record distribution date.","International film source pending"
"PA-A083","Second generation","1999","Japanese Pocket Monsters Gold complete in box","Documents Pokémon becoming an intentionally continuing game series.","60-250","1","Mandarake; Suruga-ya; eBay","Verify inserts and battery; catalog print/revision.","PA-SRC-0026 context"
"PA-A084","Second generation","1999","Japanese Pocket Monsters Silver complete in box","The paired sequel needed to show persistence of social version design.","60-250","1","Mandarake; Suruga-ya; eBay","Pair with Gold while preserving independent provenance.","PA-SRC-0026 context"
"PA-A085","Second generation development","1997-99","CoroCoro issue revealing Ho-Oh or Pokémon 2","Shows sequel imagery entering public culture long before final release.","50-300","3","Mandarake; Yahoo Japan; magazine dealers","Identify exact issue and distinguish development art from final game asset.","PA-SRC-0016 context"
"PA-A086","Second-generation TCG","1999","Japanese Neo premium file","A compact retail bridge between Gold/Silver software and the new card roster.","40-180","1","Card shops; eBay; Yahoo Japan","Verify complete nine-card file, binder, and insert.","PA-SRC-0018"
"PA-A087","Organized play","1997","Japanese first official Pokémon Card tournament program or entry material","Marks the shift from private collecting/play to organized public competition.","150-1200","5","Yahoo Japan; tournament-ephemera collectors; former participant collections","Require event/date/venue proof; preserve participant annotations.","PA-SRC-0018"
"PA-A088","Prize-card culture","1997","Low-tier authenticated Japanese tournament participant promo","Introduces prize distribution without pursuing trophy-card extremes.","200-2000","4","Specialist Japanese TCG dealers; major auction houses","Tie exact card to event and distribution tier; grading label alone is insufficient.","PA-SRC-0018"
"PA-A089","Illustration contests","1997-98","CoroCoro Pokémon card illustration contest issue","Documents children being invited to create official visual culture.","100-600","4","Mandarake; Yahoo Japan","Require contest rules and results pages; distinguish multiple contests.","TCG contest research pending"
"PA-A090","Trophy market origin","1998","Pikachu Illustrator contest-results magazine page","Historically explains the trophy card without acquiring a multimillion-dollar card.","150-1000","4","Mandarake; Yahoo Japan; specialist paper dealers","Verify issue/date and intact result pages; cite award quantities cautiously.","PA-SRC-0033"
"PA-A091","Global organized play","1999","Tropical Mega Battle participant booklet or badge","Evidence of early Japan-US competitive exchange in Hawaii.","500-5000","5","Major TCG auction houses; participant-provenance collections","Require participant/event chain of custody; identify staff versus player issue.","PA-SRC-0018"
"PA-A092","Brand management","2000","Pokémon Company renaming announcement or corporate brochure","Marks the institutional shift from store operator to integrated brand manager.","100-1000","5","Japanese corporate ephemera dealers; company/archive contacts","Verify October 2000 date and issuer; modern history printouts are reference only.","PA-SRC-0027"
"PA-A093","Global retail","2001","Pokémon Center New York opening shopping bag or map","Physical evidence of a permanent branded retail environment outside Japan.","60-350","3","eBay; NYC memorabilia dealers; fan collections","Date by Rockefeller Center address/logo and opening-period design.","International retail research pending"
"PA-A094","Global retail","2001","Pokémon Center New York opening invitation or postcard","A more date-specific record of the first US flagship opening.","200-1500","5","eBay; auction houses; original attendee collections","Require mailing/date/provenance; avoid later Nintendo World material.","International retail research pending"
"PA-A095","e-Reader transition","2001","Japanese Pokémon Card e starter product","Shows printed cards becoming machine-readable interfaces with Game Boy Advance.","80-350","2","Mandarake; Yahoo Japan; vintage TCG dealers","Verify complete contents and compatible Japanese hardware; catalog dot-code generation.","Card-e primary-source research pending"
"PA-A096","Early online collecting","2000-02","Printed eBay auction page or collector price guide for early Pokémon cards","Documents the moment local child collectibles became globally searchable commodities.","10-100","3","Archived personal collections; period magazines; web-archive printouts","Record capture/print date and URL; clearly label reconstruction versus period print.","PA-SRC-0030 context"
"PA-A097","Professional grading","2000-02","Early-certification PSA Pokémon slab with original flip","Material evidence for condition standardization and registry culture.","50-500","3","eBay; card shows; PSA marketplace","Verify certification in database, label generation, and no holder tampering; do not claim 'first graded' without PSA records.","PA-SRC-0030"
"PA-A098","Nostalgia revival","2016","Pokémon 20th anniversary retail item paired with Pokémon GO launch press","A low-cost display of the first large adult-nostalgia return wave.","20-150","1","eBay; Pokémon Center secondary market; press archives","Choose a dated official object; separate anniversary program from GO developer materials.","PA-SRC-0030; collecting-history synthesis"
"PA-A099","Pandemic boom","2021","Heritage inaugural TCG auction catalog or printed lot record","Documents sealed product and graded cards entering mainstream high-value auction culture.","0-100","1","Heritage archive; auction catalogs; saved PDF print","Preserve sale date, lot, estimate, result, and buyer's premium treatment.","PA-SRC-0032"
"PA-A100","Authentication crisis and mature market","2025","Research packet pairing an affected prototype certificate record with CGC's recall statement","A museum object about the risks of slabs, provenance shortcuts, and modern collecting institutions.","25-250","2","Public records; affected-market screenshots; legally acquired catalog/label examples","Do not buy a disputed physical card as authentic; preserve evidence with capture dates and legal/ethical review.","PA-SRC-0021"
